Data e hora;Cidade
03/12/2024 - 13:41:46;Santo André
Valor total de todos os lotes
3300,00
Total de venda de todos os produtos
1340,00
Vendas do dia Hoje
Data das vendas;Nome do produto;Valor unitário;Quantidade comprada;Valor total da venda
2024-12-03T15:45:20;Biscoitos;10,00;20
2024-12-03T15:45:20;Biscoitos;10,00;20
2024-12-03T15:45:20;Biscoitos;10,00;20
2024-12-03T15:45:20;Biscoitos;10,00;20
2024-12-03T15:45:20;Biscoitos;10,00;20
2024-12-03T15:45:20;Biscoitos;10,00;20
2024-12-03T15:45:20;Biscoitos;10,00;20
2024-12-03T15:45:20;Biscoitos;10,00;20
2024-12-03T15:45:20;Biscoitos;10,00;20
2024-12-03T15:45:20;premium: chocolate trufado;10,00;40
2024-12-03T15:45:20;premium: chocolate trufado;10,00;40
2024-12-03T15:45:20;premium: chocolate trufado;10,00;40
2024-12-03T15:45:20;premium: chocolate trufado;10,00;40
2024-12-03T15:45:20;premium: chocolate trufado;10,00;40
2024-12-03T15:45:20;premium: chocolate trufado;10,00;40
2024-12-03T15:45:20;premium: chocolate trufado;10,00;40
2024-12-03T15:45:20;premium: chocolate trufado;10,00;40
2024-12-03T15:45:20;premium: chocolate trufado;10,00;40
Historico de todos os produtos cadastrados
Código do Produto;Nome do Produto;Preço (R$);Em Estoque;Categoria/Subtipo;Marca;Status produto ativo;Valor do lote;Quantidade de lote comprado;Total de venda desse produto
67;ShowTella;10,00;false;Extrusado;Senhor Sorvete;true;0,00;0;0,00
68;Krocantissimo;10,00;false;Extrusado;Senhor Sorvete;true;0,00;0;0,00
69;Creme club hula hula coco;10,00;false;Extrusado;Senhor Sorvete;true;0,00;0;0,00
70;Grego;10,00;false;Extrusado;Senhor Sorvete;true;0,00;0;0,00
71;Creme e maracujá;10,00;false;Extrusado;Senhor Sorvete;true;0,00;0;0,00
72;Açaí com guaraná;10,00;false;Extrusado;Senhor Sorvete;true;0,00;0;0,00
73;Mashmallow;10,00;false;Extrusado;Senhor Sorvete;true;0,00;0;0,00
74;Graviola;10,00;false;Extrusado;Senhor Sorvete;true;0,00;0;0,00
75;Fruta Fa cupuaçu;10,00;false;Extrusado;Senhor Sorvete;true;0,00;0;0,00
76;Banana caramelada;10,00;false;Extrusado;Senhor Sorvete;true;0,00;0;0,00
77;Palha cinho;10,00;false;Extrusado;Senhor Sorvete;true;0,00;0;0,00
78;Amendoim;10,00;false;Extrusado;Senhor Sorvete;true;0,00;0;0,00
79;Abacate;10,00;false;Extrusado;Senhor Sorvete;true;0,00;0;0,00
80;Romeu e Julieta;10,00;false;Extrusado;Senhor Sorvete;true;0,00;0;0,00
81;Churros;10,00;false;Extrusado;Senhor Sorvete;true;0,00;0;0,00
82;Mousse de maracujá;10,00;false;Extrusado;Senhor Sorvete;true;0,00;0;0,00
83;Flocos;10,00;false;Extrusado;Senhor Sorvete;true;0,00;0;0,00
84;Iogurte com frutas vermelhas;10,00;false;Extrusado;Senhor Sorvete;true;0,00;0;0,00
85;Ameixa;10,00;false;Extrusado;Senhor Sorvete;true;0,00;0;0,00
86;Açaí;10,00;false;Extrusado;Senhor Sorvete;true;0,00;0;0,00
87;Abacaxi hortelã;10,00;false;Extrusado;Senhor Sorvete;true;0,00;0;0,00
88;Mini-saia;10,00;false;Extrusado;Senhor Sorvete;true;0,00;0;0,00
89;Melancia;10,00;false;Extrusado;Senhor Sorvete;true;0,00;0;0,00
90;Manga;10,00;false;Extrusado;Senhor Sorvete;true;0,00;0;0,00
91;Jabuticaba;10,00;false;Extrusado;Senhor Sorvete;true;0,00;0;0,00
92;Tamarindo;10,00;false;Extrusado;Senhor Sorvete;true;0,00;0;0,00
93;Maracujá;10,00;false;Extrusado;Senhor Sorvete;true;0,00;0;0,00
94;Goiaba;10,00;false;Extrusado;Senhor Sorvete;true;0,00;0;0,00
95;Banoffe;10,00;false;Especiais;Senhor Sorvete;true;0,00;0;0,00
96;Chocolate + Baunilha;10,00;false;Especiais;Senhor Sorvete;true;0,00;0;0,00
97;Trufado;10,00;false;Especiais;Senhor Sorvete;true;0,00;0;0,00
98;Crocante;10,00;false;Especiais;Senhor Sorvete;true;0,00;0;0,00
99;Niño com creme de avelã;50,00;false;Ao leite;Senhor Sorvete;true;0,00;0;0,00
100;Niño com morango;50,00;false;Ao leite;Senhor Sorvete;true;0,00;0;0,00
101;Niño trufado;50,00;false;Ao leite;Senhor Sorvete;true;0,00;0;0,00
102;Ninho com doce de leite;50,00;false;Ao leite;Senhor Sorvete;true;0,00;0;0,00
103;Rafaelo;50,00;false;Ao leite;Senhor Sorvete;true;0,00;0;0,00
104;Kinder;50,00;false;Ao leite;Senhor Sorvete;true;0,00;0;0,00
105;Pavê italiano;50,00;false;Ao leite;Senhor Sorvete;true;0,00;0;0,00
106;Doce de leite folhado;50,00;false;Ao leite;Senhor Sorvete;true;0,00;0;0,00
107;Iogurte grego com morango;50,00;false;Ao leite;Senhor Sorvete;true;0,00;0;0,00
108;Napolitano;50,00;false;Cremosinho;Senhor Sorvete;true;0,00;0;0,00
109;Açaí Pequeno;50,00;false;Torpedinhos;Senhor Sorvete;true;0,00;0;0,00
110;Açaí Grande;50,00;false;Extrusado sem cobertura;Senhor Sorvete;true;0,00;0;0,00
111;Açaí com ninho;50,00;false;Extrusado sem cobertura;Senhor Sorvete;true;0,00;0;0,00
112;Açaí com nutela;50,00;false;Extrusado sem cobertura;Senhor Sorvete;true;0,00;0;0,00
